#	Utterance	Event	Bel_A	Bel_B	CG_A	CG_B
1	A: I just got back from the gym.  	11	4092_1: [('CT+', '0')]	4092_1: [('CT+', '0')]	4092_1: [('JA', '0')]	4092_1: [('JA', '0')]
		22	4092_2: [('CT-', '0')]	4092_2: [('CT-', '0')]	4092_2: [('RT', '0')]	4092_2: [('RT', '0')]
2	B: oh good.  	oh good.  	4092_1: [('CT+', '0')]	4092_1: [('CT+', '0')]	4092_1: [('JA', '0')]	4092_1: [('JA', '0')]
		oh good.  22	4092_2: [('CT+', '0')]	4092_2: [('CT+', '0')]	4092_2: [('JA', '0')]	4092_2: [('JA', '0')]
3	A: uh-huh.  	uh-huh.  123	4092_1: [('CT-', '1')] | 4092_2: [('PS', '0')]	4092_1: [('CT-', '1')] | 4092_2: [('CT+', '0')]	4092_1: [('RT', '0')] | 4092_2: [('JA', '0')]	4092_1: [('RT', '0')] | 4092_2: [('JA', '0')]
4	B: How’s it going? 		4092_1: [('', '0')] | 4092_2: [('', '0')]	4092_1: [('', '0')] | 4092_2: [('', '0')]	4092_1: [('', '0')] | 4092_2: [('', '0')]	4092_1: [('', '0')] | 4092_2: [('', '0')]
5	A: oh pretty well.  It was really crowded today.  		4092_1: [('', '0')] | 4092_2: [('', '0')]	4092_1: [('', '0')] | 4092_2: [('', '0')]	4092_1: [('', '0')] | 4092_2: [('', '0')]	4092_1: [('', '0')] | 4092_2: [('', '0')]
6	B: yeah.  		4092_1: [('', '0')] | 4092_2: [('', '0')]	4092_1: [('', '0')] | 4092_2: [('', '0')]	4092_1: [('', '0')] | 4092_2: [('', '0')]	4092_1: [('', '0')] | 4092_2: [('', '0')]
7	A: I kind of assumed everyone would be at the shore.  		4092_1: [('', '0')] | 4092_2: [('', '0')]	4092_1: [('', '0')] | 4092_2: [('', '0')]	4092_1: [('', '0')] | 4092_2: [('', '0')]	4092_1: [('', '0')] | 4092_2: [('', '0')]
8	B: uh-huh.  		4092_1: [('', '0')] | 4092_2: [('', '0')]	4092_1: [('', '0')] | 4092_2: [('', '0')]	4092_1: [('', '0')] | 4092_2: [('', '0')]	4092_1: [('', '0')] | 4092_2: [('', '0')]
9	A: I was wrong.  		4092_1: [('', '0')] | 4092_2: [('', '0')]	4092_1: [('', '0')] | 4092_2: [('', '0')]	4092_1: [('', '0')] | 4092_2: [('', '0')]	4092_1: [('', '0')] | 4092_2: [('', '0')]
10	B: Well it’s the middle of the week or whatever so.  		4092_1: [('', '0')] | 4092_2: [('', '0')]	4092_1: [('', '0')] | 4092_2: [('', '0')]	4092_1: [('', '0')] | 4092_2: [('', '0')]	4092_1: [('', '0')] | 4092_2: [('', '0')]
